"","ensembl_gene_id","ensembl_transcript_id","chromosome_name","percentage_gc_content","entrezgene","hgnc_symbol","hgnc_transcript_name","strand","band","transcript_length"
"256","ENSG00000144452","ENST00000272895","2",37.18,26154,"ABCA12","ABCA12-001",-1,"q35",9100
"260","ENSG00000179869","ENST00000435803","7",38.84,154664,"ABCA13","ABCA13-001",1,"p12.3",17184
"267","ENSG00000238098","ENST00000469908","16",43.85,650655,"ABCA17P","ABCA17P-002",1,"p13.3",4188
"293","ENSG00000107331","ENST00000265662","9",66.66,20,"ABCA2","ABCA2-201",-1,"q34.3",8154
"295","ENSG00000167972","ENST00000301732","16",53.03,21,"ABCA3","ABCA3-001",-1,"p13.3",6609
"301","ENSG00000198691","ENST00000370225","1",46.44,24,"ABCA4","ABCA4-001",-1,"p22.1",7309
"310","ENSG00000154265","ENST00000392676","17",34.61,23461,"ABCA5","ABCA5-001",-1,"q24.3",8220
"328","ENSG00000154262","ENST00000590311","17",36.3,23460,"ABCA6","ABCA6-004",-1,"q24.3",8186
"332","ENSG00000064687","ENST00000263094","19",60.48,10347,"ABCA7","ABCA7-001",1,"p13.3",6816
"349","ENSG00000141338","ENST00000269080","17",36.81,10351,"ABCA8","ABCA8-001",-1,"q24.2",5677
"363","ENSG00000154258","ENST00000340001","17",37.68,10350,"ABCA9","ABCA9-001",-1,"q24.2",6514
"372","ENSG00000085563","ENST00000265724","7",37.05,5243,"ABCB1","ABCB1-001",-1,"q21.12",4645
"382","ENSG00000135776","ENST00000344517","1",43.62,23456,"ABCB10","ABCB10-001",-1,"q42.13",3857
"385","ENSG00000263298","ENST00000576612","HSCHR2_1_CTG12",36.93,8647,"ABCB11","ABCB11-001",-1,"q31.1",4775
"393","ENSG00000005471","ENST00000265723","7",38.6,5244,"ABCB4","ABCB4-002",-1,"q21.12",4020
"402","ENSG00000004846","ENST00000404938","7",37.73,340273,"ABCB5","ABCB5-004",1,"p21.1",5811
"408","ENSG00000115657","ENST00000265316","2",54.46,10058,"ABCB6","ABCB6-001",-1,"q35",3016
"422","ENSG00000131269","ENST00000253577","X",35.99,22,"ABCB7","ABCB7-001",-1,"q13.3",2377
"432","ENSG00000197150","ENST00000358849","7",57.04,11194,"ABCB8","ABCB8-005",1,"q36.1",4683
"459","ENSG00000150967","ENST00000542678","12",52.47,23457,"ABCB9","ABCB9-001",-1,"q24.31",6051
"481","ENSG00000103222","ENST00000399408","16",48.48,4363,"ABCC1","ABCC1-205",1,"p13.11",6594
"490","ENSG00000124574","ENST00000244533","6",52.94,89845,"ABCC10","ABCC10-007",1,"p21.1",5088
"499","ENSG00000121270","ENST00000394747","16",45.62,85320,"ABCC11","ABCC11-004",-1,"q12.1",4862
"506","ENSG00000140798","ENST00000311303","16",47.16,94160,"ABCC12","ABCC12-001",-1,"q12.1",5168
"522","ENSG00000243064","ENST00000481582","21",36.49,150000,"ABCC13","ABCC13-002",1,"q11.2",4080
"528","ENSG00000023839","ENST00000370449","10",45.12,1244,"ABCC2","ABCC2-001",1,"q24.2",5312
"534","ENSG00000108846","ENST00000285238","17",51.95,8714,"ABCC3","ABCC3-001",1,"q21.33",5716
"549","ENSG00000125257","ENST00000376887","13",42.33,10257,"ABCC4","ABCC4-001",-1,"q32.1",5837
"558","ENSG00000114770","ENST00000334444","3",44.7,10057,"ABCC5","ABCC5-001",-1,"q27.1",5921
"571","ENSG00000091262","ENST00000205557","16",49.86,101930322,"ABCC6","ABCC6-001",-1,"p13.11",5747
"586","ENSG00000256340","ENST00000546162","16",47.92,653190,"ABCC6P1","ABCC6P1-004",1,"p12.3",2943
"591","ENSG00000255277","ENST00000542005","16",49.25,101927428,"ABCC6P2","ABCC6P2-201",-1,"p13.11",717
"612","ENSG00000006071","ENST00000302539","11",50.03,6833,"ABCC8","ABCC8-201",-1,"p15.1",4981
"613","ENSG00000069431","ENST00000261200","12",35.98,10060,"ABCC9","ABCC9-001",-1,"p12.1",8293
"621","ENSG00000101986","ENST00000218104","X",58.36,215,"ABCD1","ABCD1-001",1,"q28",3664
"627","ENSG00000173208","ENST00000308666","12",34.95,225,"ABCD2","ABCD2-001",-1,"q12",6238
"632","ENSG00000117528","ENST00000484213","1",37.07,5825,"ABCD3","ABCD3-003",1,"p21.3",4367
"658","ENSG00000119688","ENST00000489678","14",51.47,5826,"ABCD4","ABCD4-015",-1,"q24.3",3008
"666","ENSG00000164163","ENST00000296577","4",35.08,6059,"ABCE1","ABCE1-001",1,"q31.21",3921
"713","ENSG00000204574","ENST00000326195","6",47.97,23,"ABCF1","ABCF1-001",1,"p21.33",3481
"729","ENSG00000033050","ENST00000287844","7",49.19,10061,"ABCF2","ABCF2-001",-1,"q36.1",3546
"740","ENSG00000161204","ENST00000473311","3",51.95,55324,"ABCF3","ABCF3-003",1,"q27.1",2844
"759","ENSG00000160179","ENST00000398437","21",51.02,9619,"ABCG1","ABCG1-008",1,"q22.3",3475
"765","ENSG00000118777","ENST00000237612","4",41.4,9429,"ABCG2","ABCG2-001",-1,"q22.1",4479
"768","ENSG00000172350","ENST00000307417","11",54.49,64137,"ABCG4","ABCG4-001",1,"q23.3",3849
"775","ENSG00000138075","ENST00000486512","2",45.18,64240,"ABCG5","ABCG5-003",-1,"p21",3033
"779","ENSG00000143921","ENST00000272286","2",45.73,64241,"ABCG8","ABCG8-001",1,"p21",2665
"782","ENSG00000143994","ENST00000316470","2",50.65,84696,"ABHD1","ABHD1-001",1,"p23.3",1400
"788","ENSG00000144827","ENST00000273359","3",35.84,55347,"ABHD10","ABHD10-001",1,"q13.2",2590
"792","ENSG00000106077","ENST00000497897","7",59.95,83451,"ABHD11","ABHD11-005",-1,"q11.23",1562
"822","ENSG00000100997","ENST00000339157","20",47.42,26090,"ABHD12","ABHD12-001",-1,"p11.21",2117
"833","ENSG00000131969","ENST00000554241","14",42.81,100616234,"ABHD12B","ABHD12B-005",1,"q22.1",2863
"849","ENSG00000139826","ENST00000375898","13",35.43,84945,"ABHD13","ABHD13-001",1,"q33.3",5338
"853","ENSG00000248487","ENST00000474575","3",54.77,25864,"ABHD14A","ABHD14A-002",1,"p21.2",1064
"856","ENSG00000114786","ENST00000463721","3",55.59,95,"ABHD14A-ACY1","ABHD14A-ACY1-004",1,"p21.2",1836
"866","ENSG00000114779","ENST00000315877","3",55.05,84836,"ABHD14B","ABHD14B-201",-1,"p21.2",2236
"867","ENSG00000168792","ENST00000307201","17",53.06,116236,"ABHD15","ABHD15-001",-1,"q11.2",3592
"903","ENSG00000235676","ENST00000464268","HSCHR6_MHC_COX",50.36,7920,"ABHD16A","ABHD16A-003",-1,"p21.33",2264
"975","ENSG00000183260","ENST00000369916","20",67.68,140701,"ABHD16B","ABHD16B-001",1,"q13.33",1776
"977","ENSG00000140526","ENST00000352732","15",44.01,11057,"ABHD2","ABHD2-001",1,"q26.1",8735
"989","ENSG00000158201","ENST00000578270","18",42.45,171586,"ABHD3","ABHD3-002",-1,"q11.2",2080
"997","ENSG00000100439","ENST00000428304","14",48.41,63874,"ABHD4","ABHD4-001",1,"q11.2",2510
"1008","ENSG00000011198","ENST00000458276","3",40.26,51099,"ABHD5","ABHD5-001",1,"p21.33",1690
"1014","ENSG00000163686","ENST00000478253","3",45.11,57406,"ABHD6","ABHD6-001",1,"p14.3",2482
"1021","ENSG00000127220","ENST00000247706","19",54.9,79575,"ABHD8","ABHD8-001",-1,"p13.11",2090
"1033","ENSG00000136754","ENST00000355394","10",38.44,10006,"ABI1","ABI1-202",-1,"p12.1",3728
"1039","ENSG00000138443","ENST00000295851","2",39.51,10152,"ABI2","ABI2-001",1,"q33.2",22209
"1063","ENSG00000108798","ENST00000225941","17",54.13,51225,"ABI3","ABI3-001",1,"q21.32",2109
"1067","ENSG00000154175","ENST00000471714","3",37.02,25890,"ABI3BP","ABI3BP-002",-1,"q12.2",6783
"1099","ENSG00000097007","ENST00000318560","9",44.47,25,"ABL1","ABL1-001",1,"q34.12",5766
"1100","ENSG00000143322","ENST00000502732","1",41.31,27,"ABL2","ABL2-001",-1,"q25.2",12144
"1123","ENSG00000099204","ENST00000533213","10",42.59,3983,"ABLIM1","ABLIM1-203",-1,"q25.3",7606
"1143","ENSG00000163995","ENST00000318888","4",53.99,84448,"ABLIM2","ABLIM2-202",-1,"p16.1",3587
"1146","ENSG00000173210","ENST00000506113","5",44.42,22885,"ABLIM3","ABLIM3-002",1,"q32",4569
"1158","ENSG00000256062","ENST00000319878","HG79_PATCH",48.74,28,"ABO","ABO-001",-1,"q34.2",6478
"1161","ENSG00000159842","ENST00000544583","17",55.2,29,"ABR","ABR-004",-1,"p13.3",5595
"1195","ENSG00000174429","ENST00000311955","8",40.25,137735,"ABRA","ABRA-001",-1,"q23.1",2755
"1196","ENSG00000146109","ENST00000274849","6",50.15,29777,"ABT1","ABT1-001",1,"p22.2",2255
"1208","ENSG00000114626","ENST00000464431","3",60.38,80325,"ABTB1","ABTB1-007",1,"q21.3",5061
"1214","ENSG00000166016","ENST00000435224","11",47.92,25841,"ABTB2","ABTB2-001",-1,"p13",4902
"1221","ENSG00000060971","ENST00000469559","3",51.46,30,"ACAA1","ACAA1-006",-1,"p22.2",4720
"1237","ENSG00000167315","ENST00000285093","18",39.53,10449,"ACAA2","ACAA2-001",-1,"q21.1",2018
"1244","ENSG00000132142","ENST00000353139","17",41.28,31,"ACACA","ACACA-001",-1,"q12",9962
"1270","ENSG00000076555","ENST00000338432","12",46.78,32,"ACACB","ACACB-001",1,"q24.11",9360
"1291","ENSG00000111271","ENST00000455480","12",47.12,80724,"ACAD10","ACAD10-002",1,"q24.12",4071
"1312","ENSG00000240303","ENST00000264990","3",37.61,84129,"ACAD11","ACAD11-001",-1,"q22.1",4142
"1334","ENSG00000151498","ENST00000531338","11",47.88,27034,"ACAD8","ACAD8-011",1,"q25",3315
"1345","ENSG00000177646","ENST00000308982","3",49.2,28976,"ACAD9","ACAD9-001",1,"q21.3",2454
"1355","ENSG00000115361","ENST00000233710","2",36.42,33,"ACADL","ACADL-001",-1,"q34",2543
"1359","ENSG00000117054","ENST00000370841","1",40.45,34,"ACADM","ACADM-001",1,"p31.1",2619
"1378","ENSG00000122971","ENST00000242592","12",55.49,35,"ACADS","ACADS-001",1,"q24.31",1950
"1382","ENSG00000196177","ENST00000358776","10",40.72,36,"ACADSB","ACADSB-001",1,"q26.13",5859
"1389","ENSG00000072778","ENST00000322910","17",58.5,37,"ACADVL","ACADVL-006",1,"p13.1",2352
"1433","ENSG00000157766","ENST00000439576","15",50.26,176,"ACAN","ACAN-201",1,"q26.1",8840
"1440","ENSG00000072818","ENST00000570439","17",54.56,9744,"ACAP1","ACAP1-002",1,"p13.1",4898
"1446","ENSG00000114331","ENST00000326793","3",38.17,23527,"ACAP2","ACAP2-001",-1,"q29",7160
"1461","ENSG00000131584","ENST00000492936","1",67.3,116983,"ACAP3","ACAP3-004",-1,"p36.33",5319
"1476","ENSG00000075239","ENST00000531813","11",42.49,38,"ACAT1","ACAT1-003",1,"q22.3",2258
"1485","ENSG00000120437","ENST00000367048","6",44.55,39,"ACAT2","ACAT2-001",1,"q25.3",3180
"1489","ENSG00000182827","ENST00000366812","1",41.45,64746,"ACBD3","ACBD3-001",-1,"q42.12",3573
"1496","ENSG00000181513","ENST00000585553","17",54.45,79777,"ACBD4","ACBD4-003",1,"q21.31",2241
"1506","ENSG00000107897","ENST00000396271","10",40.95,91452,"ACBD5","ACBD5-001",-1,"p12.1",3918
"1516","ENSG00000135847","ENST00000367595","1",37.34,84320,"ACBD6","ACBD6-001",-1,"q25.3",1670
"1517","ENSG00000176244","ENST00000356189","10",46.04,414149,"ACBD7","ACBD7-001",-1,"p13",1322
"1526","ENSG00000110455","ENST00000527346","11",49.02,84680,"ACCS","ACCS-004",1,"p11.2",3373
"1533","ENSG00000205126","ENST00000378832","11",47.51,390110,"ACCSL","ACCSL-001",1,"p11.2",1820
"1539","ENSG00000102977","ENST00000602622","16",61.99,65057,"ACD","ACD-004",-1,"q22.1",2526
"1571","ENSG00000159640","ENST00000490216","17",54.48,1636,"ACE","ACE-203",1,"q23.3",4858
"1577","ENSG00000130234","ENST00000427411","X",38.39,59272,"ACE2","ACE2-201",-1,"p22.2",3507
"1578","ENSG00000167769","ENST00000301452","19",49.83,125981,"ACER1","ACER1-001",-1,"p13.3",1445
"1579","ENSG00000177076","ENST00000340967","9",43.51,340485,"ACER2","ACER2-001",1,"p22.1",2238
"1582","ENSG00000262970","ENST00000571623","HG414_PATCH",38.74,55331,"ACER3","ACER3-001",1,"q13.5",7378
"1625","ENSG00000087085","ENST00000302913","7",64.48,43,"ACHE","ACHE-201",-1,"q22.1",2956
"1631","ENSG00000100813","ENST00000262710","14",45.36,22985,"ACIN1","ACIN1-003",-1,"q11.2",4935
"1649","ENSG00000260245","ENST00000564506","HG185_PATCH",50.22,47,"ACLY","ACLY-001",-1,"q21.2",4339
"1662","ENSG00000153086","ENST00000485893","2",39.53,130013,"ACMSD","ACMSD-003",1,"q21.3",1936
"1666","ENSG00000196636","ENST00000432641","7",38.69,57001,"ACN9","ACN9-001",1,"q21.3",2060
"1671","ENSG00000122729","ENST00000309951","9",41.7,48,"ACO1","ACO1-001",1,"p21.1",7466
"1674","ENSG00000100412","ENST00000396512","22",50.27,50,"ACO2","ACO2-002",1,"q13.2",2811
"1680","ENSG00000184227","ENST00000311148","14",49.47,641371,"ACOT1","ACOT1-001",1,"q24.3",1713
"1685","ENSG00000162390","ENST00000371316","1",51.2,26027,"ACOT11","ACOT11-001",1,"p32.3",6369
"1687","ENSG00000172497","ENST00000307624","5",40.74,134526,"ACOT12","ACOT12-001",-1,"q14.1",2086
"1693","ENSG00000112304","ENST00000537591","6",41.43,55856,"ACOT13","ACOT13-201",1,"p22.3",4391
"1695","ENSG00000119673","ENST00000238651","14",48.63,10965,"ACOT2","ACOT2-001",1,"q24.3",1774
"1697","ENSG00000177465","ENST00000326303","14",48.17,122970,"ACOT4","ACOT4-001",1,"q24.3",2362
"1699","ENSG00000205669","ENST00000381139","14",47.45,641372,"ACOT6","ACOT6-001",1,"q24.3",1004
"1706","ENSG00000097021","ENST00000361521","1",54,11332,"ACOT7","ACOT7-006",-1,"p36.31",2429
"1715","ENSG00000101473","ENST00000484975","20",49.06,10005,"ACOT8","ACOT8-012",-1,"q13.12",3059
"1723","ENSG00000123130","ENST00000379303","X",44.61,23597,"ACOT9","ACOT9-008",-1,"p22.11",3117
"1744","ENSG00000161533","ENST00000537812","17",44.35,51,"ACOX1","ACOX1-201",-1,"q25.1",7751
"1748","ENSG00000168306","ENST00000302819","3",47.22,8309,"ACOX2","ACOX2-001",-1,"p14.3",2426
"1758","ENSG00000087008","ENST00000356406","4",51.93,8310,"ACOX3","ACOX3-001",-1,"p16.1",2860
"1766","ENSG00000153093","ENST00000389811","2",42.65,55289,"ACOXL","ACOXL-001",1,"q13",2714
"1777","ENSG00000143727","ENST00000272067","2",42.67,52,"ACP1","ACP1-002",1,"p25.3",1552
"1789","ENSG00000134575","ENST00000256997","11",52.75,53,"ACP2","ACP2-001",-1,"p11.2",2203
"1806","ENSG00000102575","ENST00000592828","19",58.59,54,"ACP5","ACP5-003",-1,"p13.2",1699
"1817","ENSG00000162836","ENST00000369238","1",43.69,51205,"ACP6","ACP6-001",-1,"q21.2",6926
"1834","ENSG00000155893","ENST00000508812","3",46.4,92370,"ACPL2","ACPL2-005",1,"q23",4158
"1837","ENSG00000014257","ENST00000336375","3",40.4,55,"ACPP","ACPP-001",1,"q22.1",3125
"1846","ENSG00000142513","ENST00000270593","19",58.05,93650,"ACPT","ACPT-001",1,"q13.33",1347
"1849","ENSG00000100312","ENST00000216139","22",55.48,49,"ACR","ACR-001",1,"q13.33",1433
"1853","ENSG00000111644","ENST00000229243","12",51.76,84519,"ACRBP","ACRBP-001",-1,"p13.31",1933
"1862","ENSG00000147174","ENST00000373695","X",44.7,93953,"ACRC","ACRC-002",1,"q13.1",3213
"1864","ENSG00000134940","ENST00000533904","11",41.76,56,"ACRV1","ACRV1-001",-1,"q24.2",2212
"1874","ENSG00000103740","ENST00000258873","15",48.23,23205,"ACSBG1","ACSBG1-001",-1,"q25.1",6357
"1890","ENSG00000130377","ENST00000588304","19",45.82,81616,"ACSBG2","ACSBG2-007",1,"p13.3",2759
"1909","ENSG00000167107","ENST00000427954","17",49.96,80221,"ACSF2","ACSF2-002",1,"q21.33",2251
"1944","ENSG00000176715","ENST00000393145","16",54.76,197322,"ACSF3","ACSF3-020",1,"q24.3",7020
"1948","ENSG00000151726","ENST00000515030","4",44.71,2180,"ACSL1","ACSL1-011",-1,"q35.1",3948
"1958","ENSG00000123983","ENST00000357430","2",39.46,2181,"ACSL3","ACSL3-001",1,"q36.1",5679
"1980","ENSG00000068366","ENST00000340800","X",39.16,2182,"ACSL4","ACSL4-201",-1,"q23",5333
"1988","ENSG00000197142","ENST00000393081","10",42.89,51703,"ACSL5","ACSL5-203",1,"q25.2",3380
"1992","ENSG00000164398","ENST00000379264","5",41.87,23305,"ACSL6","ACSL6-001",-1,"q31.1",6539
"2022","ENSG00000166743","ENST00000219151","16",40.48,116285,"ACSM1","ACSM1-201",-1,"p12.3",2147
"2028","ENSG00000183747","ENST00000573854","16",40.51,123876,"ACSM2A","ACSM2A-001",1,"p12.3",2839
"2041","ENSG00000066813","ENST00000329697","16",39.17,348158,"ACSM2B","ACSM2B-001",-1,"p12.3",2935
"2064","ENSG00000005187","ENST00000289416","16",41.08,6296,"ACSM3","ACSM3-001",1,"p12.3",2845
"2075","ENSG00000215009","ENST00000399422","12",40.4,341392,"ACSM4","ACSM4-001",1,"p13.31",2142
"2078","ENSG00000183549","ENST00000331849","16",42.36,54988,"ACSM5","ACSM5-001",1,"p12.3",2796
"2089","ENSG00000154930","ENST00000537502","20",52,84532,"ACSS1","ACSS1-202",-1,"p11.21",4877
"2097","ENSG00000131069","ENST00000360596","20",45.42,55902,"ACSS2","ACSS2-001",1,"q11.22",3065
"2116","ENSG00000111058","ENST00000548058","12",35.56,79611,"ACSS3","ACSS3-001",1,"q21.31",4803
"2122","ENSG00000143632","ENST00000366684","1",62.54,58,"ACTA1","ACTA1-001",-1,"q42.13",1491
"2130","ENSG00000107796","ENST00000458208","10",40.33,59,"ACTA2","ACTA2-201",-1,"q23.31",1756
"2134","ENSG00000075624","ENST00000462494","7",56.7,60,"ACTB","ACTB-003",-1,"p22.1",2245
"2145","ENSG00000169067","ENST00000423391","5",40.24,345651,"ACTBL2","ACTBL2-001",-1,"q11.2",2791
"2146","ENSG00000159251","ENST00000290378","15",46.22,70,"ACTC1","ACTC1-001",-1,"q14",4106
"2152","ENSG00000267807","ENST00000593601","HG271_PATCH",61.09,71,"ACTG1","ACTG1-012",-1,"q25.3",2256
"2218","ENSG00000163017","ENST00000409624","2",45.18,72,"ACTG2","ACTG2-002",1,"p13.1",2064
"2219","ENSG00000182584","ENST00000330271","20",66.47,170487,"ACTL10","ACTL10-001",1,"q11.22",2028
"2220","ENSG00000136518","ENST00000429709","3",39.25,86,"ACTL6A","ACTL6A-001",1,"q26.33",1901
"2234","ENSG00000077080","ENST00000160382","7",53.08,51412,"ACTL6B","ACTL6B-001",-1,"q22.1",1537
"2240","ENSG00000187003","ENST00000333999","9",57.43,10881,"ACTL7A","ACTL7A-001",1,"q31.3",1433
"2241","ENSG00000148156","ENST00000374667","9",58.17,10880,"ACTL7B","ACTL7B-001",-1,"q31.3",2369
"2242","ENSG00000117148","ENST00000375406","1",48.15,81569,"ACTL8","ACTL8-001",1,"p36.13",1861
"2244","ENSG00000181786","ENST00000324436","19",66.03,284382,"ACTL9","ACTL9-001",-1,"p13.2",1422
"2246","ENSG00000072110","ENST00000556083","14",50.81,87,"ACTN1","ACTN1-008",-1,"q24.1",4674
"2266","ENSG00000077522","ENST00000366578","1",43.06,88,"ACTN2","ACTN2-001",1,"q43",4863
"2273","ENSG00000248746","ENST00000502692","11",56.47,89,"ACTN3","ACTN3-003",1,"q13.2",3084
"2277","ENSG00000130402","ENST00000252699","19",53.01,81,"ACTN4","ACTN4-001",1,"q13.2",4963
"2288","ENSG00000131966","ENST00000254286","14",38.77,55860,"ACTR10","ACTR10-002",1,"q23.1",1815
"2304","ENSG00000138107","ENST00000470322","10",48.85,10121,"ACTR1A","ACTR1A-003",-1,"q24.32",3519
"2311","ENSG00000115073","ENST00000289228","2",58.66,10120,"ACTR1B","ACTR1B-001",-1,"q11.2",2238
"2314","ENSG00000138071","ENST00000260641","2",39.48,10097,"ACTR2","ACTR2-001",1,"p14",3861
"2319","ENSG00000115091","ENST00000263238","2",36.61,10096,"ACTR3","ACTR3-001",1,"q14.1",6718
"2332","ENSG00000133627","ENST00000479402","7",43.36,57180,"ACTR3B","ACTR3B-005",1,"q36.1",5543
"2334","ENSG00000226481","ENST00000413404","2",41.71,440888,"ACTR3BP2","ACTR3BP2-001",1,"p11.1",1373
"2336","ENSG00000227264","ENST00000448440","10",42.23,399746,"ACTR3BP5","ACTR3BP5-001",1,"p11.1",1479
"2338","ENSG00000106526","ENST00000478393","7",43.31,653857,"ACTR3C","ACTR3C-004",-1,"q36.1",5697
"2343","ENSG00000101442","ENST00000243903","20",44.83,79913,"ACTR5","ACTR5-001",1,"q11.23",2236
"2346","ENSG00000075089","ENST00000188312","12",41,64431,"ACTR6","ACTR6-001",1,"q23.1",2464
"2357","ENSG00000113812","ENST00000335754","3",42.11,93973,"ACTR8","ACTR8-001",-1,"p21.1",3629
"2364","ENSG00000123165","ENST00000371124","X",48.75,139741,"ACTRT1","ACTRT1-001",-1,"q25",1440
"2365","ENSG00000169717","ENST00000378404","1",61.55,140625,"ACTRT2","ACTRT2-001",1,"p36.32",1420
"2366","ENSG00000115170","ENST00000263640","2",40.31,90,"ACVR1","ACVR1-001",-1,"q24.1",3045
"2376","ENSG00000135503","ENST00000257963","12",44.84,91,"ACVR1B","ACVR1B-002",1,"q13.13",4563
"2383","ENSG00000123612","ENST00000243349","2",36.88,130399,"ACVR1C","ACVR1C-001",-1,"q24.1",8994
"2388","ENSG00000121989","ENST00000241416","2",35.46,92,"ACVR2A","ACVR2A-001",1,"q22.3",5728
"2394","ENSG00000114739","ENST00000352511","3",47.64,93,"ACVR2B","ACVR2B-001",1,"p22.2",11821
"2400","ENSG00000139567","ENST00000550683","12",54.84,94,"ACVRL1","ACVRL1-002",1,"q13.13",4121
"2416","ENSG00000243989","ENST00000458031","3",55.56,95,"ACY1","ACY1-201",1,"p21.2",1836
"2417","ENSG00000132744","ENST00000255082","11",57.67,91703,"ACY3","ACY3-001",-1,"q13.2",1300
"2420","ENSG00000119640","ENST00000555463","14",41.66,97,"ACYP1","ACYP1-002",-1,"q24.3",789
"2429","ENSG00000170634","ENST00000406041","2",40.31,101927144,"ACYP2","ACYP2-003",1,"p16.2",1913
"2443","ENSG00000196839","ENST00000464097","20",53.46,100,"ADA","ADA-002",-1,"q13.12",1770
"2454","ENSG00000164113","ENST00000296513","4",36.55,132612,"ADAD1","ADAD1-001",1,"q27",1961
"2465","ENSG00000140955","ENST00000564430","16",58.6,161931,"ADAD2","ADAD2-005",1,"q24.1",2558
"2475","ENSG00000168803","ENST00000422466","15",39.9,161823,"ADAL","ADAL-201",1,"q15.3",3593
"2476","ENSG00000137845","ENST00000260408","15",37.4,102,"ADAM10","ADAM10-001",-1,"q21.3",5034
"2494","ENSG00000073670","ENST00000200557","17",59.28,4185,"ADAM11","ADAM11-001",1,"q21.31",4571
"2499","ENSG00000148848","ENST00000368679","10",43.11,8038,"ADAM12","ADAM12-001",-1,"q26.2",7938
"2509","ENSG00000143537","ENST00000527418","1",58.25,8751,"ADAM15","ADAM15-017",1,"q22",4508
"2539","ENSG00000151694","ENST00000310823","2",41,6868,"ADAM17","ADAM17-001",-1,"p25.1",4349
"2543","ENSG00000168619","ENST00000265707","8",34.42,8749,"ADAM18","ADAM18-001",1,"p11.22",2388
"2553","ENSG00000135074","ENST00000257527","5",44.66,8728,"ADAM19","ADAM19-001",-1,"q33.3",6481
